6 11 14 15
2 12 17 18
4 6 10 12
3 4 8 16
9 12 15 18
1 4 14 18
1 3 10 12
2 3 7 18
2 5 7 9
2 7 12 15
1 2 12 14
1 7 12 16
2 6 8 12
5 10 16 17
6 10 15 16
3 4 12 18
8 10 13 17
8 12 14 18
4 5 12 17
1 6 10 17
1 5 8 10
9 11 14 18
1 3 13 15
2 5 14 17
3 4 10 14
13 15 16 17
4 11 16 17
3 7 8 13
5 7 8 17
3 6 15 18
7 10 14 18
7 10 13 16
1 5 9 12
5 9 17 18
4 11 12 14
2 6 7 10
1 6 7 14
1 11 12 17
9 11 13 16
7 9 13 15
1 5 7 11
2 4 13 17
2 10 13 14
1 4 9 11
13 14 16 18
2 8 15 16
6 9 16 17
8 11 14 17
6 9 10 14
2 7 8 14
7 8 10 12
1 2 9 17
7 9 14 17
1 5 14 16
5 6 9 13
1 8 9 14
5 11 15 16
1 3 4 6
4 12 15 16
3 6 7 11
3 4 7 17
4 6 13 15
1 4 15 17
5 9 10 15
1 4 13 16
6 10 11 13
2 4 8 10
2 11 12 16
2 5 8 11
6 7 8 16
3 6 9 12
4 7 12 13
8 11 13 15
2 5 10 12
7 11 14 16
4 8 9 17
2 6 13 16
1 10 11 18
2 9 14 15
4 9 13 18
8 12 13 16
1 3 16 18
7 11 15 18
3 11 17 18
5 7 12 18
3 5 15 17
1 2 11 15
5 12 14 15
1 10 14 15
2 3 4 5
4 6 16 18
3 5 14 18
1 3 8 11
6 12 13 14
4 7 14 15
1 6 8 13
1 9 15 16
3 10 13 18
3 11 12 15
2 7 16 17
6 7 12 17
9 12 13 17
1 2 10 16
1 4 8 12
3 4 11 13
3 5 13 16
3 5 7 10
6 8 9 15
8 10 15 18
5 7 13 14
1 12 13 18
3 12 16 17
2 3 10 15
3 9 13 14
10 12 13 15
1 3 14 17
9 11 15 17
1 5 13 17
4 5 8 15
8 10 14 16
5 6 8 14
2 6 14 18
2 4 9 12
1 6 12 15
1 9 10 13
3 8 9 18
4 5 10 13
5 6 11 17
2 6 15 17
5 6 12 16
4 6 7 9
14 15 17 18
3 6 8 10
5 8 13 18
3 10 11 16
2 3 11 14
1 8 16 17
9 12 14 16
6 7 13 18
2 8 9 13
2 9 10 18
1 3 7 9
9 10 11 12
1 2 5 6
2 4 15 18
4 6 8 11
4 8 13 14
2 3 12 13
7 9 16 18
1 11 13 14
5 10 11 14
8 11 16 18
3 4 9 15
3 7 12 14
8 12 15 17
1 6 11 16
1 2 7 13
1 5 15 18
3 7 15 16
2 6 9 11
7 8 9 11
2 11 13 18
2 4 14 16
6 11 12 18
4 5 9 14
2 5 13 15
10 12 14 17
3 5 8 12
7 10 15 17
5 11 12 13
4 9 10 16
4 10 11 15
4 5 7 16
10 12 16 18
2 3 8 17
6 8 17 18
7 11 13 17
2 5 16 18
1 4 7 10
4 7 8 18
3 9 10 17
4 5 11 18
5 6 10 18
1 7 8 15
1 6 9 18
1 2 8 18
5 8 9 16
1 7 17 18
3 6 13 17
4 10 17 18
2 10 11 17
5 6 7 15
4 6 14 17
3 5 9 11
3 8 14 15
2 3 9 16
2 4 7 11
3 6 14 16
