1 2 3 4
1 2 5 6
1 2 7 8
1 2 9 10
1 2 11 12
1 2 13 14
1 3 5 7
1 3 6 8
1 3 9 11
1 3 10 12
1 3 13 15
1 4 5 8
1 4 6 7
1 4 9 12
1 4 10 11
1 4 14 15
1 5 9 13
1 5 10 14
1 5 11 15
1 6 9 14
1 6 10 13
1 6 12 15
1 7 9 15
1 7 11 13
1 7 12 14
1 8 10 15
1 8 11 14
1 8 12 13
2 3 5 8
2 3 6 7
2 3 9 12
2 3 10 11
2 3 14 15
2 4 5 7
2 4 6 8
2 4 9 11
2 4 10 12
2 4 13 15
2 5 9 14
2 5 10 13
2 5 12 15
2 6 9 13
2 6 10 14
2 6 11 15
2 7 10 15
2 7 11 14
2 7 12 13
2 8 9 15
2 8 11 13
2 8 12 14
3 4 5 6
3 4 7 8
3 4 9 10
3 4 11 12
3 4 13 14
3 5 9 15
3 5 11 13
3 5 12 14
3 6 10 15
3 6 11 14
3 6 12 13
3 7 9 13
3 7 10 14
3 7 11 15
3 8 9 14
3 8 10 13
3 8 12 15
4 5 10 15
4 5 11 14
4 5 12 13
4 6 9 15
4 6 11 13
4 6 12 14
4 7 9 14
4 7 10 13
4 7 12 15
4 8 9 13
4 8 10 14
4 8 11 15
5 6 7 8
5 6 9 10
5 6 11 12
5 6 13 14
5 7 9 11
5 7 10 12
5 7 13 15
5 8 9 12
5 8 10 11
5 8 14 15
6 7 9 12
6 7 10 11
6 7 14 15
6 8 9 11
6 8 10 12
6 8 13 15
7 8 9 10
7 8 11 12
7 8 13 14
9 10 11 12
9 10 13 14
9 11 13 15
9 12 14 15
10 11 14 15
10 12 13 15
11 12 13 14
