1 2 3 4
1 2 5 8
1 2 6 10
1 2 7 9
1 2 11 12
1 2 13 19
1 2 14 18
1 2 15 17
1 2 16 20
1 2 21 22
1 2 23 39
1 2 24 38
1 2 25 37
1 2 26 36
1 2 27 35
1 2 28 34
1 2 29 33
1 2 30 32
1 3 5 10
1 3 6 9
1 3 7 8
1 3 11 13
1 3 12 20
1 3 14 19
1 3 15 18
1 3 16 17
1 3 21 23
1 3 24 39
1 3 25 38
1 3 26 37
1 3 27 36
1 3 28 35
1 3 29 34
1 3 30 33
1 3 31 32
1 4 5 9
1 4 6 8
1 4 7 10
1 4 11 14
1 4 12 13
1 4 15 19
1 4 16 18
1 4 17 20
1 4 21 24
1 4 22 23
1 4 25 39
1 4 26 38
1 4 27 37
1 4 28 36
1 4 29 35
1 4 30 34
1 4 31 33
1 5 6 7
1 5 11 15
1 5 12 14
1 5 13 20
1 5 16 19
1 5 17 18
1 5 21 25
1 5 22 24
1 5 26 39
1 5 27 38
1 5 28 37
1 5 29 36
1 5 30 35
1 5 31 34
1 5 32 33
1 6 11 16
1 6 12 15
1 6 13 14
1 6 17 19
1 6 18 20
1 6 21 26
1 6 22 25
1 6 23 24
1 6 27 39
1 6 28 38
1 6 29 37
1 6 30 36
1 6 31 35
1 6 32 34
1 7 11 17
1 7 12 16
1 7 13 15
1 7 14 20
1 7 18 19
1 7 21 27
1 7 22 26
1 7 23 25
1 7 28 39
1 7 29 38
1 7 30 37
1 7 31 36
1 7 32 35
1 7 33 34
1 8 9 10
1 8 11 18
1 8 12 17
1 8 13 16
1 8 14 15
1 8 19 20
1 8 21 28
1 8 22 27
1 8 23 26
1 8 24 25
1 8 29 39
1 8 30 38
1 8 31 37
1 8 32 36
1 8 33 35
1 9 11 19
1 9 12 18
1 9 13 17
1 9 14 16
1 9 15 20
1 9 21 29
1 9 22 28
1 9 23 27
1 9 24 26
1 9 30 39
1 9 31 38
1 9 32 37
1 9 33 36
1 9 34 35
1 10 11 20
1 10 12 19
1 10 13 18
1 10 14 17
1 10 15 16
1 10 21 30
1 10 22 29
1 10 23 28
1 10 24 27
1 10 25 26
1 10 31 39
1 10 32 38
1 10 33 37
1 10 34 36
1 11 21 31
1 11 22 30
1 11 23 29
1 11 24 28
1 11 25 27
1 11 32 39
1 11 33 38
1 11 34 37
1 11 35 36
1 12 21 32
1 12 22 31
1 12 23 30
1 12 24 29
1 12 25 28
1 12 26 27
1 12 33 39
1 12 34 38
1 12 35 37
1 13 21 33
1 13 22 32
1 13 23 31
1 13 24 30
1 13 25 29
1 13 26 28
1 13 34 39
1 13 35 38
1 13 36 37
1 14 21 34
1 14 22 33
1 14 23 32
1 14 24 31
1 14 25 30
1 14 26 29
1 14 27 28
1 14 35 39
1 14 36 38
1 15 21 35
1 15 22 34
1 15 23 33
1 15 24 32
1 15 25 31
1 15 26 30
1 15 27 29
1 15 36 39
1 15 37 38
1 16 21 36
1 16 22 35
1 16 23 34
1 16 24 33
1 16 25 32
1 16 26 31
1 16 27 30
1 16 28 29
1 16 37 39
1 17 21 37
1 17 22 36
1 17 23 35
1 17 24 34
1 17 25 33
1 17 26 32
1 17 27 31
1 17 28 30
1 17 38 39
1 18 21 38
1 18 22 37
1 18 23 36
1 18 24 35
1 18 25 34
1 18 26 33
1 18 27 32
1 18 28 31
1 18 29 30
1 19 21 39
1 19 22 38
1 19 23 37
1 19 24 36
1 19 25 35
1 19 26 34
1 19 27 33
1 19 28 32
1 19 29 31
1 20 22 39
1 20 23 38
1 20 24 37
1 20 25 36
1 20 26 35
1 20 27 34
1 20 28 33
1 20 29 32
1 20 30 31
2 3 5 6
2 3 7 10
2 3 8 9
2 3 11 14
2 3 12 13
2 3 15 19
2 3 16 18
2 3 17 20
2 3 21 24
2 3 22 23
2 3 25 39
2 3 26 38
2 3 27 37
2 3 28 36
2 3 29 35
2 3 30 34
2 3 31 33
2 4 5 7
2 4 6 9
2 4 8 10
2 4 11 15
2 4 12 14
2 4 13 20
2 4 16 19
2 4 17 18
2 4 21 25
2 4 22 24
2 4 26 39
2 4 27 38
2 4 28 37
2 4 29 36
2 4 30 35
2 4 31 34
2 4 32 33
2 5 9 10
2 5 11 16
2 5 12 15
2 5 13 14
2 5 17 19
2 5 18 20
2 5 21 26
2 5 22 25
2 5 23 24
2 5 27 39
2 5 28 38
2 5 29 37
2 5 30 36
2 5 31 35
2 5 32 34
2 6 7 8
2 6 11 17
2 6 12 16
2 6 13 15
2 6 14 20
2 6 18 19
2 6 21 27
2 6 22 26
2 6 23 25
2 6 28 39
2 6 29 38
2 6 30 37
2 6 31 36
2 6 32 35
2 6 33 34
2 7 11 18
2 7 12 17
2 7 13 16
2 7 14 15
2 7 19 20
2 7 21 28
2 7 22 27
2 7 23 26
2 7 24 25
2 7 29 39
2 7 30 38
2 7 31 37
2 7 32 36
2 7 33 35
2 8 11 19
2 8 12 18
2 8 13 17
2 8 14 16
2 8 15 20
2 8 21 29
2 8 22 28
2 8 23 27
2 8 24 26
2 8 30 39
2 8 31 38
2 8 32 37
2 8 33 36
2 8 34 35
2 9 11 20
2 9 12 19
2 9 13 18
2 9 14 17
2 9 15 16
2 9 21 30
2 9 22 29
2 9 23 28
2 9 24 27
2 9 25 26
2 9 31 39
2 9 32 38
2 9 33 37
2 9 34 36
2 10 11 13
2 10 12 20
2 10 14 19
2 10 15 18
2 10 16 17
2 10 21 31
2 10 22 30
2 10 23 29
2 10 24 28
2 10 25 27
2 10 32 39
2 10 33 38
2 10 34 37
2 10 35 36
2 11 21 32
2 11 22 31
2 11 23 30
2 11 24 29
2 11 25 28
2 11 26 27
2 11 33 39
2 11 34 38
2 11 35 37
2 12 21 33
2 12 22 32
2 12 23 31
2 12 24 30
2 12 25 29
2 12 26 28
2 12 34 39
2 12 35 38
2 12 36 37
2 13 21 34
2 13 22 33
2 13 23 32
2 13 24 31
2 13 25 30
2 13 26 29
2 13 27 28
2 13 35 39
2 13 36 38
2 14 21 35
2 14 22 34
2 14 23 33
2 14 24 32
2 14 25 31
2 14 26 30
2 14 27 29
2 14 36 39
2 14 37 38
2 15 21 36
2 15 22 35
2 15 23 34
2 15 24 33
2 15 25 32
2 15 26 31
2 15 27 30
2 15 28 29
2 15 37 39
2 16 21 37
2 16 22 36
2 16 23 35
2 16 24 34
2 16 25 33
2 16 26 32
2 16 27 31
2 16 28 30
2 16 38 39
2 17 21 38
2 17 22 37
2 17 23 36
2 17 24 35
2 17 25 34
2 17 26 33
2 17 27 32
2 17 28 31
2 17 29 30
2 18 21 39
2 18 22 38
2 18 23 37
2 18 24 36
2 18 25 35
2 18 26 34
2 18 27 33
2 18 28 32
2 18 29 31
2 19 22 39
2 19 23 38
2 19 24 37
2 19 25 36
2 19 26 35
2 19 27 34
2 19 28 33
2 19 29 32
2 19 30 31
2 20 21 23
2 20 24 39
2 20 25 38
2 20 26 37
2 20 27 36
2 20 28 35
2 20 29 34
2 20 30 33
2 20 31 32
3 4 5 8
3 4 6 7
3 4 9 10
3 4 11 16
3 4 12 15
3 4 13 14
3 4 17 19
3 4 18 20
3 4 21 26
3 4 22 25
3 4 23 24
3 4 27 39
3 4 28 38
3 4 29 37
3 4 30 36
3 4 31 35
3 4 32 34
3 5 7 9
3 5 11 17
3 5 12 16
3 5 13 15
3 5 14 20
3 5 18 19
3 5 21 27
3 5 22 26
3 5 23 25
3 5 28 39
3 5 29 38
3 5 30 37
3 5 31 36
3 5 32 35
3 5 33 34
3 6 8 10
3 6 11 18
3 6 12 17
3 6 13 16
3 6 14 15
3 6 19 20
3 6 21 28
3 6 22 27
3 6 23 26
3 6 24 25
3 6 29 39
3 6 30 38
3 6 31 37
3 6 32 36
3 6 33 35
3 7 11 19
3 7 12 18
3 7 13 17
3 7 14 16
3 7 15 20
3 7 21 29
3 7 22 28
3 7 23 27
3 7 24 26
3 7 30 39
3 7 31 38
3 7 32 37
3 7 33 36
3 7 34 35
3 8 11 20
3 8 12 19
3 8 13 18
3 8 14 17
3 8 15 16
3 8 21 30
3 8 22 29
3 8 23 28
3 8 24 27
3 8 25 26
3 8 31 39
3 8 32 38
3 8 33 37
3 8 34 36
3 9 11 12
3 9 13 19
3 9 14 18
3 9 15 17
3 9 16 20
3 9 21 31
3 9 22 30
3 9 23 29
3 9 24 28
3 9 25 27
3 9 32 39
3 9 33 38
3 9 34 37
3 9 35 36
3 10 11 15
3 10 12 14
3 10 13 20
3 10 16 19
3 10 17 18
3 10 21 32
3 10 22 31
3 10 23 30
3 10 24 29
3 10 25 28
3 10 26 27
3 10 33 39
3 10 34 38
3 10 35 37
3 11 21 33
3 11 22 32
3 11 23 31
3 11 24 30
3 11 25 29
3 11 26 28
3 11 34 39
3 11 35 38
3 11 36 37
3 12 21 34
3 12 22 33
3 12 23 32
3 12 24 31
3 12 25 30
3 12 26 29
3 12 27 28
3 12 35 39
3 12 36 38
3 13 21 35
3 13 22 34
3 13 23 33
3 13 24 32
3 13 25 31
3 13 26 30
3 13 27 29
3 13 36 39
3 13 37 38
3 14 21 36
3 14 22 35
3 14 23 34
3 14 24 33
3 14 25 32
3 14 26 31
3 14 27 30
3 14 28 29
3 14 37 39
3 15 21 37
3 15 22 36
3 15 23 35
3 15 24 34
3 15 25 33
3 15 26 32
3 15 27 31
3 15 28 30
3 15 38 39
3 16 21 38
3 16 22 37
3 16 23 36
3 16 24 35
3 16 25 34
3 16 26 33
3 16 27 32
3 16 28 31
3 16 29 30
3 17 21 39
3 17 22 38
3 17 23 37
3 17 24 36
3 17 25 35
3 17 26 34
3 17 27 33
3 17 28 32
3 17 29 31
3 18 22 39
3 18 23 38
3 18 24 37
3 18 25 36
3 18 26 35
3 18 27 34
3 18 28 33
3 18 29 32
3 18 30 31
3 19 21 22
3 19 23 39
3 19 24 38
3 19 25 37
3 19 26 36
3 19 27 35
3 19 28 34
3 19 29 33
3 19 30 32
3 20 21 25
3 20 22 24
3 20 26 39
3 20 27 38
3 20 28 37
3 20 29 36
3 20 30 35
3 20 31 34
3 20 32 33
4 5 6 10
4 5 11 18
4 5 12 17
4 5 13 16
4 5 14 15
4 5 19 20
4 5 21 28
4 5 22 27
4 5 23 26
4 5 24 25
4 5 29 39
4 5 30 38
4 5 31 37
4 5 32 36
4 5 33 35
4 6 11 19
4 6 12 18
4 6 13 17
4 6 14 16
4 6 15 20
4 6 21 29
4 6 22 28
4 6 23 27
4 6 24 26
4 6 30 39
4 6 31 38
4 6 32 37
4 6 33 36
4 6 34 35
4 7 8 9
4 7 11 20
4 7 12 19
4 7 13 18
4 7 14 17
4 7 15 16
4 7 21 30
4 7 22 29
4 7 23 28
4 7 24 27
4 7 25 26
4 7 31 39
4 7 32 38
4 7 33 37
4 7 34 36
4 8 11 12
4 8 13 19
4 8 14 18
4 8 15 17
4 8 16 20
4 8 21 31
4 8 22 30
4 8 23 29
4 8 24 28
4 8 25 27
4 8 32 39
4 8 33 38
4 8 34 37
4 8 35 36
4 9 11 13
4 9 12 20
4 9 14 19
4 9 15 18
4 9 16 17
4 9 21 32
4 9 22 31
4 9 23 30
4 9 24 29
4 9 25 28
4 9 26 27
4 9 33 39
4 9 34 38
4 9 35 37
4 10 11 17
4 10 12 16
4 10 13 15
4 10 14 20
4 10 18 19
4 10 21 33
4 10 22 32
4 10 23 31
4 10 24 30
4 10 25 29
4 10 26 28
4 10 34 39
4 10 35 38
4 10 36 37
4 11 21 34
4 11 22 33
4 11 23 32
4 11 24 31
4 11 25 30
4 11 26 29
4 11 27 28
4 11 35 39
4 11 36 38
4 12 21 35
4 12 22 34
4 12 23 33
4 12 24 32
4 12 25 31
4 12 26 30
4 12 27 29
4 12 36 39
4 12 37 38
4 13 21 36
4 13 22 35
4 13 23 34
4 13 24 33
4 13 25 32
4 13 26 31
4 13 27 30
4 13 28 29
4 13 37 39
4 14 21 37
4 14 22 36
4 14 23 35
4 14 24 34
4 14 25 33
4 14 26 32
4 14 27 31
4 14 28 30
4 14 38 39
4 15 21 38
4 15 22 37
4 15 23 36
4 15 24 35
4 15 25 34
4 15 26 33
4 15 27 32
4 15 28 31
4 15 29 30
4 16 21 39
4 16 22 38
4 16 23 37
4 16 24 36
4 16 25 35
4 16 26 34
4 16 27 33
4 16 28 32
4 16 29 31
4 17 22 39
4 17 23 38
4 17 24 37
4 17 25 36
4 17 26 35
4 17 27 34
4 17 28 33
4 17 29 32
4 17 30 31
4 18 21 22
4 18 23 39
4 18 24 38
4 18 25 37
4 18 26 36
4 18 27 35
4 18 28 34
4 18 29 33
4 18 30 32
4 19 21 23
4 19 24 39
4 19 25 38
4 19 26 37
4 19 27 36
4 19 28 35
4 19 29 34
4 19 30 33
4 19 31 32
4 20 21 27
4 20 22 26
4 20 23 25
4 20 28 39
4 20 29 38
4 20 30 37
4 20 31 36
4 20 32 35
4 20 33 34
5 6 8 9
5 6 11 20
5 6 12 19
5 6 13 18
5 6 14 17
5 6 15 16
5 6 21 30
5 6 22 29
5 6 23 28
5 6 24 27
5 6 25 26
5 6 31 39
5 6 32 38
5 6 33 37
5 6 34 36
5 7 8 10
5 7 11 12
5 7 13 19
5 7 14 18
5 7 15 17
5 7 16 20
5 7 21 31
